prompt,question_type,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_k,option_l,option_m,option_n,option_o,option_p,option_q,option_r,option_s,option_t,option_u,option_v,option_w,option_x,option_y,option_z,correct_answer,points,difficulty,instructions,passage,group_label,turn_type,preparation_seconds,response_seconds,adaptive_follow_up,part_code
What does the student need to bring to the appointment?,mcq_single,Passport,Notebook,Calculator,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 1
Why is the library closing early today?,mcq_single,Staff training,Building repairs,A public holiday,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 1
Where will the meeting take place?,mcq_single,Room 12,The cafe,The main hall,,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,,,,,,,Listening 1
What time does the workshop begin?,mcq_single,9:15,9:30,10:00,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,,,,,,Listening 1
What is the speaker's main concern?,mcq_single,The price,The deadline,The location,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,,,,,,Listening 1
Which item has already been paid for?,mcq_single,Textbook,Exam fee,Bus pass,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,,,,,,Listening 1
What will the tutor send by email?,mcq_single,A reading list,A timetable,A feedback form,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 1
Conversation 1: What does the man want to change?,mcq_single,His course time,His address,His password,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,Conversation 1,,,,,Listening 2
Conversation 1: What does the woman ask him to provide?,mcq_single,Student ID,Photo ID,Payment receipt,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,Conversation 1,,,,,Listening 2
Conversation 2: Why did the class move rooms?,mcq_single,Projector issue,Noise outside,Large group size,,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,,Conversation 2,,,,,Listening 2
Conversation 2: Where should students wait?,mcq_single,Reception,Room 4,The courtyard,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,Conversation 2,,,,,Listening 2
Conversation 3: What is the customer buying?,mcq_single,Headphones,A charger,A keyboard,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,Conversation 3,,,,,Listening 2
Conversation 3: What discount is available?,mcq_single,Ten percent,Fifteen percent,Twenty percent,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,Conversation 3,,,,,Listening 2
Conversation 4: What does the speaker recommend?,mcq_single,Booking early,Travelling by taxi,Changing hotel,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,Conversation 4,,,,,Listening 2
Conversation 4: Which day is busiest?,mcq_single,Friday,Saturday,Sunday,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,Conversation 4,,,,,Listening 2
Conversation 5: What problem does the student report?,mcq_single,Missing marks,Wrong name,Lost card,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,Conversation 5,,,,,Listening 2
Conversation 5: When will it be fixed?,mcq_single,Today,Tomorrow,Next week,,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,,Conversation 5,,,,,Listening 2
The tour begins at {{blank}} in the morning.,fill_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,nine|9,1,medium,,,,,,,,Listening 3
Students must bring a {{blank}} for identification.,fill_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,passport,1,medium,,,,,,,,Listening 3
The first stop is the {{blank}} building.,fill_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,science,1,medium,,,,,,,,Listening 3
Lunch will be served in the {{blank}}.,fill_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,garden,1,medium,,,,,,,,Listening 3
The afternoon activity is a {{blank}} workshop.,fill_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,writing,1,medium,,,,,,,,Listening 3
Questions should be sent by {{blank}}.,fill_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,email,1,medium,,,,,,,,Listening 3
The visit ends near the main {{blank}}.,fill_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,gate,1,medium,,,,,,,,Listening 3
What is the discussion mainly about?,mcq_single,Choosing research methods,Planning a sports event,Reviewing a film,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 4
Why does Maya prefer interviews?,mcq_single,They reveal opinions,They are cheaper,They take less time,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 4
What weakness does Ravi mention?,mcq_single,Small sample size,Unclear deadline,Old equipment,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 4
Which source will the group check next?,mcq_single,A journal article,A news report,A lecture slide,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 4
What does the tutor suggest adding?,mcq_single,A comparison table,A personal story,A longer title,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 4
What will the group do before Friday?,mcq_single,Revise the proposal,Collect all data,Submit the final report,,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,,,,,,,Listening 4
